,smile
0,C[C@H](C(=O)O)c1ccc2oc(c3ccc(Cl)cc3)nc2c1
1,CC(C)(C)C(=O)[C@H](Oc1ccc(Cl)cc1)n1ccnc1
2,CCN(CC)CC(=O)N1c2ccccc2Sc2ccccc12
3,CN(C)CCO[C@@](C)(c1ccccc1)c1ccccn1
4,CCN(CC)C(=O)c1ccc(O)c(OC)c1
5,CN1[C@@H]2CC[C@H]1CC(OC(=O)[C@H](O)c1ccccc1)C2
6,C[C@@H]1C[C@H](OC(=O)c2ccccc2O)CC(C)(C)C1
7,CCn1ccnc1C[C@H]1COc2ccccc2O1
8,Cc1cc(=O)c2c(O)c3ccoc3c(OC[C@H](O)CNC(C)C)c2o1
9,C[C@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1
10,Cc1cccc(C)c1NC(=O)[C@H]1CCCCN1C
11,C[C@@H]1C[C@@H]2Oc3ccc(Cl)cc3C(=O)N2O1
12,CC(=O)Oc1c(C)cc(OC[C@H](O)CNC(C)C)c(C)c1C
13,CC(C)(Oc1ccc([C@@H]2CCCc3ccccc23)cc1)C(=O)O
14,CC[C@@H](C)[C@H](C(=O)OC1CC[N+](C)(C)CC1)c1ccccc1
15,c1ccc2c(c1)OC[C@H](CN1CCCCC1)O2
16,CC(C)NC[C@@H](O)c1ccc(O)c2ncccc12
17,CC(C)=C[C@@H]1[C@@H](C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C
18,O=C(OC[C@@H]1CCCO1)c1cccnc1
19,COc1ccc(C[C@H](C)NC[C@@H](O)c2ccc(O)c(NC=O)c2)cc1
20,CC(C)/C=c1\[nH]c(=O)/c(=C\c2ccccc2)[nH]c1=O
21,Nc1c(CC(=O)O)cccc1C(=O)c1ccccc1
22,CNC(=O)Oc1ccccc1C(=O)Nc1ccccc1
23,C=C(C(=O)OC1C[C@H]2CC[C@@H](C1)N2C)c1ccccc1
24,Nc1ncnc2c1ncn2Cc1c(F)cccc1Cl
25,Cc1cc(Cc2cnc(N)nc2N)c2cccnc2c1N(C)C
26,CC(=O)Oc1ccc(Br)cc1C(=O)O
27,CN(C)c1cccc(F)c1C(=O)NC(=O)Nc1ccc(Cl)cc1
28,COC(=O)[C@H]1[C@H]2CC[C@@H](C[C@H]1OC(=O)c1ccccc1)N2C
29,O=C(O)c1cccnc1Nc1cccc(Cl)c1Cl
30,COc1ccc(/C(C)=C\C(=O)O)c(OC)c1
31,CN1[C@@H]2CC[C@H]1CC(OC(=O)C(c1ccccc1)c1ccccc1)C2
32,CC(=O)Oc1ccc2c(c1)CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@H]21
33,CCOc1cc(NC(C)=O)ccc1C(=O)OC
34,CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
35,CCOC(=O)C1(c2cccc(O)c2)CCN(C)CC1
36,Cn1cc2c(cccc2NC2=NCCN2)n1
37,O=C(O)c1ccccc1Nc1cc(Cl)ccc1C(=O)O
38,CCc1cc2cc(OC)c(OC)cc2c(Cc2ccccc2)n1
39,O=[N+]([O-])c1ccc(-c2nc3ccccc3c(N(CCO)CCO)n2)o1
40,O=[N+]([O-])c1ccc(S(=O)(=O)/N=c2/cccc[nH]2)cc1
41,O=C(Nc1ccc(O)cc1)c1ccccc1O
42,CC(=O)Nc1ccc(OC(=O)c2cccs2)cc1
43,NNc1nnc(Cc2ccncc2)c2ccccc21
44,CCc1[nH]c(=O)[nH]c1C(=O)c1ccncc1
45,CCc1ncnc2cc(OC)c(OC)cc21
46,CN1C(=O)CC2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O
47,c1csc(C2(N3CCCCC3)CCCCC2)c1
48,Cc1cccc(C)c1NC1=NCCCS1
49,CCOc1ccccc1O[C@H](c1ccccc1)[C@@H]1CNCCO1
